,Hashtag,Count
9,neurontin,4420
32,pregabalin,2334
82,gabapentin,1712
45,lyrica,734
122,chronicpain,683
30,fibromyalgia,647
46,pain,564
535,ebook,483
50,health,375
4,fibro,369
26,pharma,362
1910,opioids,313
150,viagra,310
1,spoonie,297
1058,gabapentinoids,237
53,pfizer,182
75,fda,176
173,anxiety,176
64,drugs,172
72,pharmacy,163
0,neuropathy,158
1745,opioid,156
49,news,154
42,cfs,147
252,paxil,138
2001,chroniclife,134
244,zithromax,127
255,cialis,120
446,crps,120
417,sciatica,117
5,epilepsy,115
1314,addiction,109
278,lexapro,104
923,mentalhealth,103
943,meded,101
102,healthcare,101
942,foamed,96
477,nhs,95
92,neurology,95
78,horizant,94
207,medication,94
1033,chronicillness,90
174,med,88
1055,neuropathicpain,88
6488,neisvoid,86
3977,medtwitter,83
350,ms,83
3770,cpp,79
2974,opioidcrisis,79
38,medicine,79
2227,cannabis,76
140,hairloss,76
1333,painmanagement,73
646,neuropathic,71
54,drug,71
2061,antidepressants,71
3703,opioidhysteria,71
571,me,70
1799,backpain,70
135,cancer,69
234,mecfs,68
277,nexium,68
462,suicide,67
162,celebrex,65
304,synthroid,65
13,migraine,65
133,celexa,61
554,depression,61
242,clomid,60
2483,benzodiazepines,57
2147,overdose,55
311,spoonies,55
267,medical,54
346,hpm,53
1026,1,52
567,gralise,51
481,nervepain,51
800,shingles,49
1664,pregnancy,49
282,valtrex,48
717,multiplesclerosis,47
1506,patent,47
181,diflucan,47
33,bipolar,47
136,topamax,47
316,withdrawal,45
1880,共感したらrt,45
1879,あるある,45
251,accutane,45
25,biotech,44
10,fb,44
954,valium,44
39,diabetes,44
247,propecia,44
76,rls,44
706,psychiatry,43
1853,uk,43
233,recovery,43
907,seizures,42
12,marketing,42
3327,smartnews,42
1004,insomnia,41
231,clinicaltrial,41
6260,covid19,41
411,tramadol,40
149,pharmaceutical,39
266,jobs,39
3130,nephjc,38
1255,alcohol,37
188,free,37
1521,research,36
367,retweet,36
1923,prescribing,36
1974,gpnews,36
14,fms,35
155,makmende,35
3078,cbd,35
2155,benzos,34
1275,archibus,34
1041,anesthesia,34
312,pills,34
2199,pwme,33
502,seo,33
89,stocks,33
2212,painrelief,32
291,singulair,32
339,prescription,32
43,brain,32
609,duloxetine,32
3400,startup,32
292,plavix,32
11,39,32
